uid,gender,age,height,weight,side,VR_exp,game_fre,sport_fre,difficulty,enjoyment,fatigue,personality,familiarity
3,0,0,2,1,1,0,0,1,0,1,0,0,0
4,0,0,2,0,1,0,0,0,1,1,1,1,0
5,1,1,1,0,1,1,0,0,0,1,0,1,1
7,1,1,1,0,1,1,0,1,1,0,1,0,0
8,1,1,2,1,1,0,0,1,1,1,1,0,0
9,1,1,0,1,1,0,1,0,0,1,0,0,0
10,0,1,2,1,1,0,1,0,0,0,0,1,0
11,0,1,2,3,1,0,0,0,0,1,0,0,0
12,0,1,3,2,1,1,0,1,1,1,0,1,0
13,0,1,2,2,1,0,1,1,1,1,0,0,0
14,0,1,3,3,1,0,1,1,0,0,0,1,0
15,1,0,0,0,1,1,0,1,1,1,0,1,0
16,1,0,1,0,1,0,0,0,1,1,0,1,0
17,1,0,1,0,1,0,0,0,1,1,0,1,0
18,0,1,2,2,1,1,1,0,1,0,0,1,0
19,0,1,2,1,1,0,0,1,0,0,1,1,0
20,0,0,2,2,1,1,1,0,0,1,0,0,1
21,1,0,1,0,1,0,1,1,1,1,1,1,0
22,1,0,2,2,1,1,0,0,0,0,0,1,0
23,0,1,1,2,1,1,1,0,1,1,0,1,0
24,1,1,1,1,1,1,1,0,1,1,1,0,1
25,1,1,1,0,1,0,0,1,1,1,1,1,0
26,0,1,3,2,1,1,0,0,1,1,0,0,0
27,0,0,2,1,1,1,0,0,1,1,1,1,1
28,0,0,2,1,1,0,1,0,0,0,0,1,0
29,0,1,2,2,1,0,1,0,1,1,0,1,1
30,0,0,3,3,1,0,1,0,1,1,0,0,0
31,0,0,1,1,1,0,1,0,0,1,0,1,0
32,0,0,3,3,1,0,1,1,1,1,0,1,0
33,0,0,1,1,1,0,0,0,1,0,1,0,1
34,0,0,2,1,1,1,1,0,1,1,1,1,0
35,0,1,2,2,0,0,1,0,1,0,0,0,0
36,1,1,1,1,1,0,0,0,0,1,0,1,0
37,1,0,0,0,1,1,1,0,1,1,0,1,1
38,1,0,2,1,1,0,0,1,0,1,0,0,0
39,1,0,1,1,1,0,0,1,1,1,1,1,0
40,0,0,3,2,1,0,1,0,0,1,0,1,0
41,0,0,2,2,1,0,0,1,1,1,0,1,0
42,0,1,3,1,1,1,1,0,0,1,0,0,1
43,1,1,1,1,1,0,1,0,0,1,0,1,1
44,1,1,0,0,0,1,0,1,1,0,1,1,0
45,0,1,3,2,1,1,1,1,0,1,0,1,1
46,0,1,2,1,1,0,0,0,0,1,0,0,1
47,0,1,1,1,1,1,1,1,1,1,0,1,0
49,0,0,3,2,1,0,1,1,1,1,0,1,0
50,1,1,2,2,1,0,0,0,1,1,0,0,0
51,1,1,1,1,1,0,1,0,1,1,0,1,1
52,1,1,1,0,1,0,0,0,1,1,1,1,0
53,1,1,1,0,1,0,0,0,1,1,1,1,0
54,1,1,1,1,1,0,0,0,1,1,1,1,0
55,1,1,2,1,1,0,1,0,0,1,0,1,1
56,1,1,2,0,1,0,0,1,0,1,0,1,1
57,1,1,0,0,1,0,0,0,1,1,1,0,0
58,1,1,1,1,1,0,0,0,1,1,0,1,1
59,1,1,1,1,1,0,0,0,0,1,0,0,1
60,1,1,1,0,1,0,0,0,1,1,1,1,1
61,1,1,1,1,1,0,0,0,1,1,1,1,1
62,0,1,1,1,1,1,1,0,0,1,0,0,1
